Query,Description,Target endpoint,Federated endpoints,Real world relevance or background of the query,Is this query a toy example?,Are there any tricks to make the query executable?,Is this query similar to another query?,Known Problems,Query alias
https://sparql.uniprot.org/.well-known/sparql-examples/54,Proteins with annotated binding sites for ligands similar to heme,https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://idsm.elixir-czech.cz/sparql/endpoint/chebi","Finding cognate ligands that are the difference between things binding in biological day to day, and 3D structure determination where the chemicals are similar but not identical",no,"xsd:double, use avoids bug in virtuoso",-,no,-
https://sparql.uniprot.org/.well-known/sparql-examples/70_enzymes_interacting_with_molecules_similar_to_dopamine,Look for enzymes catalyzing reactions with molecules similar to dopamine.,https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://idsm.elixir-czech.cz/sparql/endpoint/chebi",-,-,-,-,no,70-dopamine-sim-enzymes
https://sparql.uniprot.org/.well-known/sparql-examples/38,For the human entry P05067 (Amyloid-beta precursor protein) find the gene start ends in WikiData,https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://query.wikidata.org/sparql","UniProt has protein information, but lacks good gene cooridnatees. Other resources can enrich UniProt with such key information.",no,-,-,no,-
https://sparql.uniprot.org/.well-known/sparql-examples/48,Retrieve glycosylation sites and glycans on human enzymes (federated with glyconnect),https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://glyconnect.expasy.org/sparql","UniProt glycosylation information is incomplete, enriching these key PTM types is important. (e.g. COVID spike protein is highly glycosylated)",no,-,-,no,-
https://sparql.uniprot.org/.well-known/sparql-examples/71_enzymes_interacting_with_molecules_similar_to_dopamine_with_variants_related_to_disease,"Look for enzymes catalyzing reactions with molecules similar to dopamine, with natural variants related to a disease.",https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://idsm.elixir-czech.cz/sparql/endpoint/chebi",-,-,-,-,no,71-dopamine-disease-variants
https://sparql.uniprot.org/.well-known/sparql-examples/90_uniprot_affected_by_metabolic_diseases_using_MeSH,Find UniProtKB proteins involved in metabolic diseases using the MeSH concept for 'Metabolic Diseases'.,https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://id.nlm.nih.gov/mesh/sparql",-,-,-,-,no,90-metabolic-disease-mesh
https://sparql.uniprot.org/.well-known/sparql-examples/29,"Use <a href=""http://allie.dbcls.jp/"">ALLIE</a> a service for Abbreviation / Long Form in Japanese and English to search in UniProt using Japanese.",https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://data.allie.dbcls.jp/sparql",TOY: Using online translation services for dynamic query and result translation,"yes, as term is chosen for fun",tends to break due to UTF-8 encoding issues on the wire between load balancers and backends,-,no,-
https://sparql.uniprot.org/.well-known/sparql-examples/67_draft_human_metabolome,Generate a draft human metabolome,https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://sparql.rhea-db.org/sparql",-,-,-,-,no,67-metabolome-draft
https://sparql.rhea-db.org/.well-known/sparql-examples/19_draft_human_metabolome,Generate a draft human metabolome,https://sparql.rhea-db.org/sparql/,"https://sparql.rhea-db.org/sparql/, https://sparql.uniprot.org/sparql",-,-,-,-,no,19-metabolome-draft
https://sparql.uniprot.org/.well-known/sparql-examples/49,"Retrieve the UniProt proteins, their catalyzed Rhea reactions, their encoding genes (Ensembl) and the anatomic entities where the genes are expressed (UBERON anatomic entites from Bgee expression data resource).",https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://sparql.rhea-db.org/sparql, https://sparql.uniprot.org/sparql/, https://www.bgee.org/sparql","Find tissue specific enzymes, and their genomic coordinates",no,-,-,yes,-
https://sparql.uniprot.org/.well-known/sparql-examples/42,Connect patents cited in UniProtKB with those in the patent database at EPO via publication number.,https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://data.epo.org/linked-data/query","Patent's are key in Pharma funding desicions, asking EPO has key information that no one else has",-,-,-,no,-
https://sparql.uniprot.org/.well-known/sparql-examples/109_uniprot_transporter_in_liver,"Find human transporter proteins in reviewed UniProtKB/Swiss-Prot, that are expressed in the liver (Uses Bgee and UBERON).",https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://www.bgee.org/sparql",-,-,-,-,yes,109-transporter-liver
https://sparql.uniprot.org/.well-known/sparql-examples/60,"Find Human proteins that catalyze reactions where substrates or product have a <a href=""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:35516"">Cholestane skeleton</a>",https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://idsm.elixir-czech.cz/sparql/endpoint/chebi, https://sparql.uniprot.org/sparql/, https://sparql.rhea-db.org/sparql",Key drug design query,no,-,-,no,-
https://sparql.uniprot.org/.well-known/sparql-examples/43,"Connect patents cited in UniProtKB with those in the patent database at EPO via publication number, whose grant date is more than twenty years in the past.",https://sparql.uniprot.org/sparql/,"https://sparql.uniprot.org/sparql/, https://data.epo.org/linked-data/query","Find drug targets, where patents have expired",no,-,https://sparql.uniprot.org/.well-known/sparql-examples/42,no,-
https://sparql.swisslipids.org/.well-known/sparql-examples/26,Lipids produced in different organisms,https://sparql.swisslipids.org/sparql/,"https://sparql.swisslipids.org/sparql/, https://sparql.rhea-db.org/sparql, https://sparql.swisslipids.org/sparql/, https://sparql.uniprot.org/sparql",-,no,-,https://sparql.swisslipids.org/.well-known/sparql-examples/27,no,-
https://sparql.swisslipids.org/.well-known/sparql-examples/27,Find the list of SwissLipids for all organisms and their Isomeric subspecies,https://sparql.swisslipids.org/sparql/,"https://sparql.swisslipids.org/sparql/, https://sparql.rhea-db.org/sparql, https://sparql.swisslipids.org/sparql/, https://sparql.uniprot.org/sparql",-,-,-,https://sparql.swisslipids.org/.well-known/sparql-examples/26,no,-
https://sparql.swisslipids.org/.well-known/sparql-examples/34,Lipids affected by human enzymes,https://sparql.swisslipids.org/sparql/,"https://sparql.swisslipids.org/sparql/, https://sparql.rhea-db.org/sparql, https://sparql.swisslipids.org/sparql/, https://sparql.uniprot.org/sparql",Find fat's that humans can break down.,no,-,-,no,-
https://sparql.swisslipids.org/.well-known/sparql-examples/16,"For a given lipid (SWISSLIPID:000399814, Ceramide), return a list of all enzymes in UniProtKB/Swiss-Prot annotated to catalyze reactions involving that lipid. This query does not consider the hierarchy: it looks for reactions and enzymes only for the specified lipid.",https://sparql.swisslipids.org/sparql/,"https://sparql.swisslipids.org/sparql/, https://sparql.rhea-db.org/sparql, https://sparql.swisslipids.org/sparql/, https://sparql.uniprot.org/sparql",-,-,-,-,yes,-
https://sparql.swisslipids.org/.well-known/sparql-examples/6,"For a given lipid (SWISSLIPID:000399814, Ceramide), return a list of all corresponding reactions (Rhea IDs and equation), as well as their enzymes as annotated in UniProtKB/Swiss-Prot) enzymes themselves (ID and protein name). This query does not consider the hierarchy: it looks for reactions and enzymes only for the specified lipid.",https://sparql.swisslipids.org/sparql/,"https://sparql.swisslipids.org/sparql/, https://sparql.rhea-db.org/sparql, https://sparql.swisslipids.org/sparql/, https://sparql.uniprot.org/sparql",Enrich lipid display with key information on how and what syntezises them,-,yes values clause,-,no,-
https://sparql.swisslipids.org/.well-known/sparql-examples/7,"For a given list of lipid Species, return a list of the corresponding Isomeric subspecies for that particular lipid that are linked to an enzyme as annotated in UniProtKB (UniProt AC and recommended name). This question would allow a user with (a list of) very high level MS identifications to immediately narrow them to the most likely potential lipid structures and protein targets as in this example: SWISSLIPID:000056871 / PC(O-36:4) (target species of interest) -> SWISSLIPID:000028143 / PC(O-16:0/20:4(5Z,8Z,11Z,14Z)) -> LPCAT4, PLA2G4A, PLA2G4C, PLA2G4F (target proteins)",https://sparql.swisslipids.org/sparql/,"https://sparql.swisslipids.org/sparql/, https://sparql.rhea-db.org/sparql, https://sparql.swisslipids.org/sparql/, https://sparql.uniprot.org/sparql",From masspec result to lipid identification in vivo,-,-,-,no,-
https://sparql.swisslipids.org/.well-known/sparql-examples/5,"For a given lipid (SWISSLIPID:000399814, Ceramide), return a list of all corresponding reactions (Rhea IDs and equation). This query does consider the hierarchy: it looks for reactions involving the specified lipid and/or its more specific forms.",https://sparql.swisslipids.org/sparql/,"https://sparql.swisslipids.org/sparql/, https://sparql.rhea-db.org/sparql","Find reactions that lead to such a lipid that are known to occur in biology, pathway elucidation. Functional resistance",-,-,-,no,-
https://sparql.orthodb.org/.well-known/sparql-examples/18,Find zebrafish orthologs of disease-implicated (according to Nextprot SPARQL endpoint) human genes via Vertebrata-level orthogroup/s annotated with both IPR000719 (protein kinase domain) and GO:0048013 (ephrin receptor signaling pathway),https://sparql.orthodb.org/sparql/,"https://sparql.orthodb.org/sparql/, https://sparql.nextprot.org/",-,-,-,-,no,-
https://sparql.orthodb.org/.well-known/sparql-examples/19,"Find distribution of oxidation reactions catalyzed by genes arranged into several Eukaryota-level orthologous groups annotated with IPR002328 across species in Alveolata, Stramenopiles, Liliopsida and Coleoptera via cooperation with both Uniprot SPARQL endpoint and RHEA SPARQL endpoint",https://sparql.orthodb.org/sparql/,"https://sparql.orthodb.org/sparql/, https://sparql.rhea-db.org/sparql, https://sparql.orthodb.org/sparql/, https://sparql.uniprot.org/sparql",-,-,-,-,no,-
https://sparql.orthodb.org/.well-known/sparql-examples/17,"Find genes having Uniprot xrefs in the group 6400at314295, along with their names fetched from Uniprot SPARQL endpoint",https://sparql.orthodb.org/sparql/,"https://sparql.orthodb.org/sparql/, https://sparql.uniprot.org/sparql",-,-,-,-,no,-
https://sparql.orthodb.org/.well-known/sparql-examples/20,Find single-copy phyletic profile at all orthologous levels of STRING-anotated well known interacting genes pertinent to mouse gene/s from the OrthoDB orthologous group annotated with GO MF GO:0005164 (tumor necrosis factor receptor binding) and GO BP GO:0045739 (positive regulation of DNA repair),https://sparql.orthodb.org/sparql/,"https://sparql.orthodb.org/sparql/, https://sparql.string-db.org/sparql",-,-,-,-,no,-
https://www.bgee.org/sparql/.well-known/sparql-examples/020,Which are the genes in Primates orthologous to a gene that is expressed in the fruit fly's eye?,https://www.bgee.org/sparql/,"https://www.bgee.org/sparql/, https://sparql.omabrowser.org/sparql","PAPER: The high relevance of this query is confirmed by the fact that was based on the scientific work published at https://doi.org/10.1093/database/baz106. Extracted from the paper: ""integrating orthology and gene expression data is relevant since we might want to predict gene expression conservation for orthologous genes"", ""The orthologs are normally thought to retain the same function in the course of evolution."".",no,-,-,no,-
https://www.bgee.org/sparql/.well-known/sparql-examples/016,Which are the genes in Human associated to a disease that are orthologous to a gene expressed in the rat's brain?,https://www.bgee.org/sparql/,"https://www.bgee.org/sparql/, https://sparql.uniprot.org/sparql, https://www.bgee.org/sparql/, https://sparql.omabrowser.org/sparql/","PAPER: The high relevance of this query is confirmed by the fact that was based on the scientific work published at https://doi.org/10.1093/database/baz106. Extracted from the paper ""The integration of the three sources promises to open the path for novel comparative studies across species, for example, through the analysis of orthologs (OMA) of human disease-causing genes (UniProt) and their expression patterns in model organisms (Bgee).""",no,-,-,no,-
https://www.bgee.org/sparql/.well-known/sparql-examples/017,Anatomical entities where the ins zebrafish gene is expressed and its gene GO annotations.,https://www.bgee.org/sparql/,"https://www.bgee.org/sparql/, https://sparql.uniprot.org/sparql",PAPER: The high relevance of this query is confirmed by the fact that was based on the scientific work published at https://doi.org/10.1093/database/baz106.,no,-,-,no,-
https://www.bgee.org/sparql/.well-known/sparql-examples/019,Which are the orthologs of a gene that is expressed in the fruit fly's brain?,https://www.bgee.org/sparql/,"https://www.bgee.org/sparql/, https://sparql.omabrowser.org/sparql/","PAPER: The high relevance of this query is confirmed by the fact that was based on the scientific work published at https://doi.org/10.1093/database/baz106. Extracted from the paper: ""integrating orthology and gene expression data is relevant since we might want to predict gene expression conservation for orthologous genes""",no,-,-,no,-
https://www.bgee.org/sparql/.well-known/sparql-examples/018,Which are the mouse's proteins encoded by genes which are expressed in the liver and are orthologous to human's INS gene?,https://www.bgee.org/sparql/,"https://www.bgee.org/sparql/, https://sparql.omabrowser.org/sparql","PAPER: The high relevance of this query is confirmed by the fact that was based on the scientific work published at https://doi.org/10.1093/database/baz106. Extracted from the paper: ""integrating orthology and gene expression data is relevant since we might want to predict gene expression conservation for orthologous genes""",no,-,-,no,-
https://sparql.rhea-db.org/.well-known/sparql-examples/20_search_chemical_names_in_japanese,"Search for Chemical names starting in Japanese, translated to english using allie",https://sparql.rhea-db.org/sparql/,"https://sparql.rhea-db.org/sparql/, https://data.allie.dbcls.jp/sparql",-,-,-,-,no,20-japanese-chem-search
https://sparql.rhea-db.org/.well-known/sparql-examples/12,Select all Rhea reactions linked to protein sequences (enzymes and transporters) in UniProtKB,https://sparql.rhea-db.org/sparql,"https://sparql.rhea-db.org/sparql, https://sparql.uniprot.org/sparql",Reaction to enzyme,-,-,-,no,-
https://sparql.rhea-db.org/.well-known/sparql-examples/18,"Use <a href=""https://idsm.elixir-czech.cz/sparql"">IDSM Sachem</a> to find ChEBIs with a a <a href=""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:35516"">Cholestane</a> skeleton (in SMILES). Then match returned ChEBIs to Rhea undirected reactions.",https://sparql.rhea-db.org/sparql,"https://sparql.rhea-db.org/sparql, https://idsm.elixir-czech.cz/sparql/endpoint/chebi",Reaction on specific type of molecule,no,-,https://sparql.uniprot.org/.well-known/sparql-examples/60,no,-
https://sparql.rhea-db.org/.well-known/sparql-examples/11,Distribution of reactions according to the first class of the enzyme classification (federated query),https://sparql.rhea-db.org/sparql,"https://sparql.rhea-db.org/sparql, https://sparql.uniprot.org/sparql",Enzyme classification to reaction classification,no,-,-,no,-
https://sparql.rhea-db.org/.well-known/sparql-examples/13,Select all Rhea reactions used in UniProtKB/Swiss-Prot for a given organism (NCBI taxonomy ID).,https://sparql.rhea-db.org/sparql,"https://sparql.rhea-db.org/sparql, https://sparql.uniprot.org/sparql",Known enzymatic reactions in a specific species (e.g. find if bacteria X can break down drugs D),-,-,-,no,-
https://sparql.omabrowser.org/.well-known/sparql-examples/3,Retrieve all proteins in OMA that is encoded by the INS gene and their mnemonics and evidence types from Uniprot database (federated query).,https://sparql.omabrowser.org/sparql,"https://sparql.omabrowser.org/sparql, https://sparql.uniprot.org/sparql",TOY: it is not relevant compared to the others. It was written as a toy query.,yes,-,-,no,-
https://sparql.omabrowser.org/.well-known/sparql-examples/14,Retrieve pairwise orthologous genes of the Cyanobacterium-aponinum psb27- gene that are found in the MBGD database but are not present in OMA,https://sparql.omabrowser.org/sparql,"https://sparql.omabrowser.org/sparql, http://sparql.nibb.ac.jp/sparql",This query is relevant to increase the coverage of known othologous genes for a given bacteria species. OMA is not specific to microbes but MBGD is.,no,-,-,no,-
https://biosoda.unil.ch/emi/sparql/.well-known/sparql-examples/006,"Search spectrally related features with and within the VGF151_E05 sample of a datura stramonium through counts of common peaks and loss. Return their species, family and genus names",https://biosoda.unil.ch/emi/sparql/,"https://biosoda.unil.ch/emi/sparql/, https://query.wikidata.org/sparql",-,-,-,-,no,-
https://biosoda.unil.ch/emi/sparql/.well-known/sparql-examples/001,"Among the SIRIUS structural annotations from Tabernaemontana coffeoides (Apocynaceae) seeds extract, which ones are reported in the Tabernaemontana genus?",https://biosoda.unil.ch/emi/sparql/,"https://biosoda.unil.ch/emi/sparql/, https://query.wikidata.org/sparql",-,-,-,-,no,-
https://purl.org/emi#examples011b,List interactions and traits of all species which have an IUCN status (wdt:P141) of near threatened (wd:Q719675).,https://biosoda.unil.ch/emi/sparql/,"https://biosoda.unil.ch/emi/sparql/, https://qlever.cs.uni-freiburg.de/api/wikidata",-,-,-,-,no,-
https://purl.org/emi#examples011a,List interactions of all species which have an IUCN status (wdt:P141) of near threatened (wd:Q719675).,https://biosoda.unil.ch/emi/sparql/,"https://biosoda.unil.ch/emi/sparql/, https://qlever.cs.uni-freiburg.de/api/wikidata",-,-,-,-,no,-
https://purl.org/emi#examples019b,## A list of chemicals produced by parasatoids harmful for insects living as parasites on livestock feed plant Achillea millefolium (wd:Q25408) Archaeplastida: Q879246).,https://biosoda.unil.ch/emi/sparql/,"https://biosoda.unil.ch/emi/sparql/, https://qlever.cs.uni-freiburg.de/api/wikidata",-,-,-,-,no,-
https://biosoda.unil.ch/emi/sparql/.well-known/sparql-examples/009,"Which samples have features annotated as Aspidosperma_type alkaloids by CANOPUS with a probability score above 0.5, ordered by the decreasing count of features?",https://biosoda.unil.ch/emi/sparql/,"https://biosoda.unil.ch/emi/sparql/, https://query.wikidata.org/sparql",-,-,-,-,no,-
https://purl.org/emi#examples013,## List traits (and their values) of plants producing Diterpenoids,https://biosoda.unil.ch/emi/sparql/,"https://biosoda.unil.ch/emi/sparql/, https://qlever.cs.uni-freiburg.de/api/wikidata",-,-,-,-,no,-
https://purl.org/emi#examples015,## List metabolites of plants that interact with plant parasite moth Orgyia postica (wd:Q7102162) .,https://biosoda.unil.ch/emi/sparql/,"https://biosoda.unil.ch/emi/sparql/, https://qlever.cs.uni-freiburg.de/api/wikidata",-,-,-,-,no,-
https://purl.org/emi#examples018,"## List possible interactions of plants that can produce asimcin (wd:Q100138042), a cytotoxin.",https://biosoda.unil.ch/emi/sparql/,"https://biosoda.unil.ch/emi/sparql/, https://qlever.cs.uni-freiburg.de/api/wikidata",-,-,-,-,no,-
https://purl.org/emi#examples012,List all metabolites produced by species with near threatened (wd:Q719675) IUCN status (wdt:P141) and with values available (or greater than a specific value) for trait 'Seed dry mass'.,https://biosoda.unil.ch/emi/sparql/,"https://biosoda.unil.ch/emi/sparql/, https://qlever.cs.uni-freiburg.de/api/wikidata",-,-,-,-,no,-
https://purl.org/emi#examples021,"Natural producers (and their interactions that might be useful in agriculture) of Onpordopicrin (wd:Q27107580), which might exhibit antimicrobial and cytotoxic activities, especially against human-derived macrophages and against epidermoid carcinoma cells. There is limited scientific evidence to support these claims (https://www.sciencedirect.com/science/article/abs/pii/S138614251500685X).",https://biosoda.unil.ch/emi/sparql/,"https://biosoda.unil.ch/emi/sparql/, https://qlever.cs.uni-freiburg.de/api/wikidata",-,-,-,-,no,-
https://purl.org/emi#examples019a,## A list of interactions depicting connections between parasatoids harmful for insects living as parasites on plants.,https://biosoda.unil.ch/emi/sparql/,"https://biosoda.unil.ch/emi/sparql/, https://qlever.cs.uni-freiburg.de/api/wikidata",-,-,-,-,no,-
https://biosoda.unil.ch/emi/sparql/.well-known/sparql-examples/007,"Show chemical structures in Melochia umbellata extracts with structural annotations where the cosmic score is greater than 0.5 and the zodiac score is less than 0.8. For ISDB annotations, consider taxon scores greater than or equal to 6",https://biosoda.unil.ch/emi/sparql/,"https://biosoda.unil.ch/emi/sparql/, https://query.wikidata.org/sparql",-,-,-,-,no,-
https://biosoda.unil.ch/emi/sparql/.well-known/sparql-examples/002,"Among the structural annotations from Tabernaemontana coffeoides (Apocynaceae) seeds extract, which ones contain an aspidospermidine substructure?",https://biosoda.unil.ch/emi/sparql/,"https://biosoda.unil.ch/emi/sparql/, https://idsm.elixir-czech.cz/sparql/endpoint/wikidata",-,-,-,-,no,-
https://sparql.uniprot.org/.well-known/sparql-examples/118_biosodafrontend_rat_brain_human_cancer,What are the Homo sapiens genes associated with cancer and their orthologs expressed in the Rattus norvegicus brain?,https://sparql.uniprot.org/sparql,"https://sparql.omabrowser.org/sparql, https://www.bgee.org/sparql/",PAPER: Used in this paper https://pmc.ncbi.nlm.nih.gov/articles/PMC6836710/ and this talk https://www.sib.swiss/in-silico-talks/answering-biological-questions-with-federated-queries-across-databases,-,-,-,yes,118-rat-brain-cancer
https://sparql.uniprot.org/.well-known/sparql-examples/117_biosodafrontend_glioblastoma_orthologs_rat,Which are the proteins associated with glioblastoma and the orthologs expressed in the rat brain?,https://sparql.uniprot.org/sparql,"https://sparql.uniprot.org/sparql, https://sparql.omabrowser.org/sparql/, https://www.bgee.org/sparql/",PAPER: Used in this paper https://pmc.ncbi.nlm.nih.gov/articles/PMC6836710/ and this talk https://www.sib.swiss/in-silico-talks/answering-biological-questions-with-federated-queries-across-databases,-,-,-,no,117-glioblastoma-rat
https://www.bgee.org/sparql/.well-known/sparql-examples/028-biosodafrontend,Genes expressed in the human's brain during the infant stage and their UniProt disease annotations.,https://www.bgee.org/sparql/,"https://www.bgee.org/sparql/, https://sparql.uniprot.org/sparql",PAPER: Used in this paper https://pmc.ncbi.nlm.nih.gov/articles/PMC6836710/ and this talk https://www.sib.swiss/in-silico-talks/answering-biological-questions-with-federated-queries-across-databases,-,-,-,yes,-
https://www.bgee.org/sparql/.well-known/sparql-examples/027-biosodafrontend,Genes expressed in the human pancreas and their annotations in UniProt.,https://www.bgee.org/sparql/,"https://www.bgee.org/sparql/, https://sparql.uniprot.org/sparql",PAPER: Used in this paper https://pmc.ncbi.nlm.nih.gov/articles/PMC6836710/ and this talk https://www.sib.swiss/in-silico-talks/answering-biological-questions-with-federated-queries-across-databases,-,-,-,no,-
https://sparql.omabrowser.org/.well-known/sparql-examples/15-rat-TP53-biosodafrontend,Rattus norvegicus' proteins encoded by genes that are paralogous to its TP53 gene and their Uniprot function annotations.,https://sparql.omabrowser.org/sparql/,"https://sparql.omabrowser.org/sparql/, https://sparql.uniprot.org/sparql",PAPER: Used in this paper https://pmc.ncbi.nlm.nih.gov/articles/PMC6836710/ and this talk https://www.sib.swiss/in-silico-talks/answering-biological-questions-with-federated-queries-across-databases,-,-,-,no,15-rat-TP53
https://sparql.uniprot.org/.well-known/sparql-examples/116_biosodafrontend_rabit_mouse_orthologs,Rabbit's proteins encoded by genes that are orthologous to Mouse's HBB-Y gene and their cross reference links to Uniprot,https://sparql.uniprot.org/sparql,"https://sparql.omabrowser.org/sparql/, https://sparql.uniprot.org/sparql",PAPER: Used in this paper https://pmc.ncbi.nlm.nih.gov/articles/PMC6836710/ and this talk https://www.sib.swiss/in-silico-talks/answering-biological-questions-with-federated-queries-across-databases,-,-,-,no,116-rabbit-mouse-orthologs
